# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
19888.5000 M552 1000 2 754.5000 p0 p2 287 N p0->p13->p2
19888.6000 M563 1000 4 372.6000 p3 p2 293 N p3->p4->p0->p13->p2
19888.7000 M524 1000 3 1739.7000 p4 p2 271 N p4->p0->p13->p2
20091.1000 M566 1000 5 482.1000 p3 p7 291 N p3->p4->c96->p55->c82->p7
20091.2000 M576 1000 9 138.2000 p0 p7 297 N p0->p13->p15->p56->c79->p26->p70->p22->c82->p7
20091.3000 M253 1000 6 11362.3000 p1 p7 110 N p1->p12->p15->p13->p2->c82->p7
20091.4000 M553 1000 3 919.4000 p4 p7 284 N p4->p0->c82->p7
20091.5000 M267 1000 12 10887.5000 p1 p7 118 N p1->p12->p16->p15->c96->p55->c86->p52->c91->c90->c72->c82->p7
20091.6000 M416 1000 3 5710.6000 p3 p7 204 N p3->p0->c82->p7
20091.7000 M444 1000 7 4713.7000 p2 p7 221 N p2->p13->p15->c97->c79->p22->c82->p7
20091.8000 M312 1000 11 9318.8000 p3 p7 144 N p3->p4->p0->p13->p20->p12->p15->p56->c92->c72->c82->p7
20091.9000 M468 1000 2 3911.9000 p0 p7 234 N p0->c82->p7
20092.0000 M425 1000 3 5384.0000 p3 p7 210 N p3->p0->c82->p7
20092.1000 M463 1000 2 4082.1000 p0 p7 231 N p0->c82->p7
20092.2000 M494 1000 4 2995.2000 p3 p7 250 N p3->p4->p0->c82->p7
20092.3000 M372 1000 11 7232.3000 p3 p7 179 N p3->p4->p2->p13->p15->c92->c96->p59->c79->p22->c82->p7
20092.4000 M532 1000 11 1664.4000 p1 p7 272 N p1->p12->p15->p56->p70->p51->c79->p65->c91->p22->c82->p7
20092.5000 M433 1000 9 5102.5000 p3 p7 214 N p3->p4->p2->p13->p15->c97->c79->p22->c82->p7
20092.6000 M374 1000 10 7165.6000 p4 p7 180 N p4->p2->p13->p15->c92->c96->p59->c79->p22->c82->p7
20092.7000 M465 1000 3 4012.7000 p4 p7 233 N p4->p0->c82->p7
20092.8000 M375 1000 10 7130.8000 p4 p7 181 N p4->p2->p13->p15->c92->c96->p59->c79->p22->c82->p7
20092.9000 M268 1000 4 10855.9000 p4 p7 119 N p4->p2->p13->c82->p7
20093.0000 M154 1000 11 14813.0000 p4 p7 53 N p4->p0->p13->p15->c73->c96->c89->p21->p26->p30->c82->p7
20291.2000 M525 1000 5 2104.2000 p7 p2 264 N p7->c82->p56->p15->p13->p2
20291.3000 M486 1000 5 3477.3000 p7 p2 242 N p7->c82->p56->p15->p13->p2
20291.4000 M580 1000 5 198.4000 p7 p2 296 N p7->c82->p56->p15->p13->p2
20291.5000 M443 1000 5 4946.5000 p7 p2 217 N p7->c82->p56->p15->p13->p2
20305.1000 M585 1000 1 37.1000 p0 p3 299 N p0->p3
20314.1000 M586 1000 1 9.1000 p4 p0 299 N p4->p0
20316.1000 M571 1000 6 534.1000 p4 p1 291 N p4->p0->p13->p15->p16->p12->p1
20316.2000 M570 1000 7 565.2000 p3 p1 290 N p3->p4->p0->p13->p15->p16->p12->p1
20316.3000 M521 1000 6 2281.3000 p3 p1 261 N p3->p0->p13->p15->p16->p12->p1
20316.4000 M520 1000 6 2317.4000 p3 p1 261 N p3->p0->p13->p15->p16->p12->p1
20316.5000 M577 1000 6 332.5000 p4 p1 294 N p4->p0->p13->p15->p16->p12->p1
20371.1000 M588 1000 1 0.1000 p0 p4 299 N p0->p4
20710.1000 M595 1000 1 103.1000 p3 p4 298 N p3->p4
20712.1000 M592 1000 2 207.1000 p0 p2 296 N p0->p4->p2
20712.2000 M431 1000 6 5793.2000 p7 p4 203 N p7->c82->p56->p15->p13->p2->p4
20712.3000 M516 1000 6 2845.3000 p7 p4 252 N p7->c82->p56->p15->p13->p2->p4
20712.4000 M413 1000 6 6434.4000 p7 p4 192 N p7->c82->p56->p15->p13->p2->p4
20819.1000 M584 1000 6 582.1000 p4 p1 290 N p4->p2->p13->p15->p16->p12->p1
20819.2000 M596 1000 7 178.2000 p0 p1 297 N p0->p4->p2->p13->p15->p16->p12->p1
20819.3000 M591 1000 7 345.3000 p0 p1 294 N p0->p4->p2->p13->p15->p16->p12->p1
20897.1000 M581 1000 8 767.1000 p1 p0 287 N p1->p12->p16->p15->p56->p70->p65->c96->p0
20897.2000 M545 1000 6 2008.2000 p7 p0 266 N p7->c82->p51->p70->p65->c96->p0
20897.3000 M455 1000 6 5160.3000 p7 p0 213 N p7->c82->p51->p70->p65->c96->p0
20897.4000 M272 1000 6 11528.4000 p7 p0 107 N p7->c82->p51->p70->p65->c96->p0
20951.1000 M258 1000 7 12047.1000 p7 p3 99 N p7->c82->p56->p15->p13->p2->p4->p3
20951.2000 M562 1000 7 1473.2000 p7 p3 275 N p7->c82->p56->p15->p13->p2->p4->p3
20951.3000 M475 1000 7 4524.3000 p7 p3 224 N p7->c82->p56->p15->p13->p2->p4->p3
20951.4000 M245 1000 7 12509.4000 p7 p3 91 N p7->c82->p56->p15->p13->p2->p4->p3
21632.1000 M605 1000 3 668.1000 p3 p1 288 N p3->p0->c96->p1
21632.2000 M617 1000 2 264.2000 p0 p1 295 N p0->c96->p1
21716.1000 M624 1000 1 109.1000 p3 p0 298 N p3->p0
21716.2000 M623 1000 1 142.2000 p0 p3 297 N p0->p3
21717.2000 M627 1000 2 0.2000 p4 p3 299 N p4->p0->p3
21814.4000 M621 1000 5 314.4000 p1 p2 294 N p1->p12->p16->p15->p13->p2
22316.4000 M643 1000 5 23.4000 p2 p1 299 N p2->p13->p15->p16->p12->p1
22744.1000 M651 1000 1 172.1000 p4 p3 297 N p4->p3
23223.1000 M670 1000 1 0.1000 p4 p3 299 N p4->p3
23438.1000 M611 1000 4 2264.1000 p1 p0 262 N p1->p12->p15->p13->p0
23438.2000 M664 1000 4 423.2000 p1 p0 292 N p1->p12->p15->p13->p0
23438.3000 M656 1000 2 701.3000 p2 p0 288 N p2->p13->p0
23438.4000 M609 1000 2 2330.4000 p2 p0 261 N p2->p13->p0
23439.9000 M672 1000 3 151.9000 p2 p4 297 N p2->p13->p0->p4
23440.0000 M629 1000 3 1646.0000 p2 p4 272 N p2->p13->p0->p4
23441.4000 M652 1000 4 837.4000 p2 p3 286 N p2->p13->p0->p4->p3
23441.5000 M635 1000 10 1434.5000 p7 p3 276 N p7->c82->p22->c79->p26->c84->p2->p13->p0->p4->p3
23492.1000 M678 1000 1 0.1000 p0 p4 299 N p0->p4
23635.7000 M654 1000 5 968.7000 p0 p2 283 N p0->p13->p15->p49->c84->p2
23780.1000 M661 1000 4 868.1000 p2 p1 285 N p2->p13->p15->p12->p1
23823.3000 M688 1000 2 0.3000 p3 p0 299 N p3->p4->p0
24005.1000 M693 1000 1 0.1000 p0 p4 299 N p0->p4
24035.1000 M694 1000 1 0.1000 p4 p3 299 N p4->p3
