0	 CONN	6	 1	 up
537000	 CONN	3	 2	 down
538000	 CONN	3	 2	 up
539000	 CONN	3	 2	 down
540000	 CONN	3	 2	 up
541000	 CONN	3	 2	 down
542000	 CONN	3	 2	 up
543000	 CONN	3	 2	 down
544000	 CONN	3	 2	 up
545000	 CONN	3	 2	 down
546000	 CONN	3	 2	 up
547000	 CONN	3	 2	 down
548000	 CONN	3	 2	 up
549000	 CONN	3	 2	 down
550000	 CONN	3	 2	 up
551000	 CONN	3	 2	 down
552000	 CONN	3	 2	 up
553000	 CONN	3	 2	 down
554000	 CONN	3	 2	 up
555000	 CONN	3	 2	 down
556000	 CONN	3	 2	 up
557000	 CONN	3	 2	 down
558000	 CONN	3	 2	 up
559000	 CONN	3	 2	 down
560000	 CONN	3	 2	 up
561000	 CONN	3	 2	 down
562000	 CONN	3	 2	 up
563000	 CONN	3	 2	 down
564000	 CONN	3	 2	 up
565000	 CONN	3	 2	 down
566000	 CONN	3	 2	 up
567000	 CONN	3	 2	 down
568000	 CONN	3	 2	 up
569000	 CONN	3	 2	 down
570000	 CONN	3	 2	 up
571000	 CONN	3	 2	 down
572000	 CONN	3	 2	 up
573000	 CONN	3	 2	 down
574000	 CONN	3	 2	 up
575000	 CONN	3	 2	 down
576000	 CONN	3	 2	 up
577000	 CONN	3	 2	 down
578000	 CONN	3	 2	 up
579000	 CONN	3	 2	 down
580000	 CONN	3	 2	 up
581000	 CONN	3	 2	 down
582000	 CONN	3	 2	 up
583000	 CONN	3	 2	 down
584000	 CONN	3	 2	 up
585000	 CONN	3	 2	 down
586000	 CONN	3	 2	 up
587000	 CONN	3	 2	 down
588000	 CONN	3	 2	 up
589000	 CONN	3	 2	 down
590000	 CONN	3	 2	 up
591000	 CONN	3	 2	 down
592000	 CONN	3	 2	 up
593000	 CONN	3	 2	 down
594000	 CONN	3	 2	 up
595000	 CONN	3	 2	 down
596000	 CONN	3	 2	 up
597000	 CONN	3	 2	 down
598000	 CONN	3	 2	 up
599000	 CONN	3	 2	 down
600000	 CONN	3	 2	 up
601000	 CONN	3	 2	 down
602000	 CONN	3	 2	 up
603000	 CONN	3	 2	 down
604000	 CONN	3	 2	 up
605000	 CONN	3	 2	 down
606000	 CONN	3	 2	 up
607000	 CONN	3	 2	 down
608000	 CONN	3	 2	 up
609000	 CONN	3	 2	 down
610000	 CONN	3	 2	 up
611000	 CONN	3	 2	 down
612000	 CONN	3	 2	 up
613000	 CONN	3	 2	 down
614000	 CONN	3	 2	 up
615000	 CONN	3	 2	 down
616000	 CONN	3	 2	 up
617000	 CONN	3	 2	 down
618000	 CONN	3	 2	 up
619000	 CONN	3	 2	 down
620000	 CONN	3	 2	 up
621000	 CONN	3	 2	 down
622000	 CONN	3	 2	 up
623000	 CONN	3	 2	 down
624000	 CONN	3	 2	 up
625000	 CONN	3	 2	 down
626000	 CONN	3	 2	 up
627000	 CONN	3	 2	 down
628000	 CONN	3	 2	 up
629000	 CONN	3	 2	 down
630000	 CONN	3	 2	 up
631000	 CONN	3	 2	 down
632000	 CONN	3	 2	 up
633000	 CONN	3	 2	 down
634000	 CONN	3	 2	 up
635000	 CONN	3	 2	 down
636000	 CONN	3	 2	 up
637000	 CONN	3	 2	 down
638000	 CONN	3	 2	 up
639000	 CONN	3	 2	 down
640000	 CONN	3	 2	 up
641000	 CONN	3	 2	 down
642000	 CONN	3	 2	 up
643000	 CONN	3	 2	 down
644000	 CONN	3	 2	 up
645000	 CONN	3	 2	 down
646000	 CONN	3	 2	 up
647000	 CONN	3	 2	 down
648000	 CONN	3	 2	 up
649000	 CONN	3	 2	 down
650000	 CONN	3	 2	 up
651000	 CONN	3	 2	 down
652000	 CONN	3	 2	 up
653000	 CONN	3	 2	 down
654000	 CONN	3	 2	 up
655000	 CONN	3	 2	 down
656000	 CONN	3	 2	 up
657000	 CONN	3	 2	 down
658000	 CONN	3	 2	 up
659000	 CONN	3	 2	 down
660000	 CONN	3	 2	 up
661000	 CONN	3	 2	 down
662000	 CONN	3	 2	 up
663000	 CONN	3	 2	 down
664000	 CONN	3	 2	 up
665000	 CONN	3	 2	 down
666000	 CONN	3	 2	 up
667000	 CONN	3	 2	 down
668000	 CONN	3	 2	 up
669000	 CONN	3	 2	 down
670000	 CONN	3	 2	 up
671000	 CONN	3	 2	 down
672000	 CONN	3	 2	 up
673000	 CONN	3	 2	 down
674000	 CONN	3	 2	 up
675000	 CONN	3	 2	 down
676000	 CONN	3	 2	 up
677000	 CONN	3	 2	 down
678000	 CONN	3	 2	 up
679000	 CONN	3	 2	 down
680000	 CONN	3	 2	 up
681000	 CONN	3	 2	 down
682000	 CONN	3	 2	 up
683000	 CONN	3	 2	 down
684000	 CONN	3	 2	 up
685000	 CONN	3	 2	 down
686000	 CONN	3	 2	 up
687000	 CONN	3	 2	 down
688000	 CONN	3	 2	 up
689000	 CONN	3	 2	 down
690000	 CONN	3	 2	 up
691000	 CONN	3	 2	 down
692000	 CONN	3	 2	 up
